User,Tweet Count,Date/Time,Compound,Negative,Neutral,Positive,Text
BBC,68,2018-04-26 20:05:00+00:00,-0.4588,0.143,0.857,0.0,The heartbreaking story of the artist who gave the children of this concentration camp art lessons. Their beautiful… https://t.co/gMFqgqgtvg
BBC,67,2018-04-26 19:03:04+00:00,-0.1761,0.082,0.918,0.0,"Take a detailed look at ambulance services, from the highly pressurised control rooms to the crews on the street. 🚑… https://t.co/ACZOCRjbgS"
BBC,66,2018-04-26 18:33:03+00:00,0.7506,0.0,0.738,0.262,"Follow a young family of falcons as they grow up in downtown Chicago. 🦅

Natural World: Super Fast Falcon | 8pm |… https://t.co/fDzkfaxMNM"
BBC,65,2018-04-26 18:01:09+00:00,0.3612,0.0,0.815,0.185,"😯 This woman from the 1920s looks EXACTLY like Benedict Cumberbatch.  
#TheGNShow https://t.co/ZkdgiM7ZVg"
BBC,64,2018-04-26 16:08:02+00:00,0.0,0.0,1.0,0.0,"RT @cbbc: If you can't wait to see @iamradzi on this week's ep of #BluePeter, turn him into an alien on the CBBC Buzz app! 📲🖍️➡️ https://t.…"
BBC,63,2018-04-26 16:00:25+00:00,0.4019,0.0,0.803,0.197,🔥👩‍🚒 These helmets use AR to help firefighters see through smoke. https://t.co/g0807qwa7z
BBC,62,2018-04-26 15:32:09+00:00,0.0,0.0,1.0,0.0,"RT @bbcpress: Ahead of the final episode of #Civilisations, @Simon_Schama reveals his highlights from the series. Civilisations concludes t…"
BBC,61,2018-04-26 14:34:22+00:00,0.368,0.0,0.826,0.174,RT @bbcthree: FYI baby Neil from Gavin and Stacey is now a 10-year-old https://t.co/yGthNqOfZK
BBC,60,2018-04-26 14:13:03+00:00,0.0,0.0,1.0,0.0,"🍽 Should you become a vegan?


Weigh up the pros and cons of meat-eating and veganism. 

🤔

https://t.co/g1xCjnAQFL https://t.co/tzJtDxicA7"
BBC,59,2018-04-26 13:56:59+00:00,0.0,0.0,1.0,0.0,RT @BBCScotlandNews: Polar bear cub to be named Hamish after public vote https://t.co/HgNRA8gLMu https://t.co/00LK3653xE
BBC,58,2018-04-26 12:58:05+00:00,0.0,0.0,1.0,0.0,"🎤Rapper @kanyewest has a way with words. But instead of rap lyrics, these days he’s dropping knowledge on Twitter.… https://t.co/gInfDANKoX"
BBC,57,2018-04-26 12:01:05+00:00,0.0,0.0,1.0,0.0,💣🐜 Ever heard of 'exploding ants'? https://t.co/im9JhvRJtS
